Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Pantothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Vitamin K,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Category
"Quinoa, uncooked",43.3,32.1,9.3,25.2,18.4,24.4,7.3,15.0,3.5,4.7,65.6,57.1,46.9,88.4,65.3,12.0,15.5,0.3,28.2,30.0,24.5,9.5,15.4,37.5,46.0,0.0,0.1,0.0,0.0,16.3,0.0,30.5,41.5,37.9,28.6,28.8,46.5,51.3,30.1,47.7,23.1,35.4,0.0,1.4,0.0,0.2,0.3,grains
Oats,45.8,33.1,10.6,30.2,27.9,4.4,9.9,11.5,6.1,5.4,69.6,59.0,42.1,213.7,74.7,9.1,52.5,0.1,36.1,63.6,10.7,6.0,27.0,9.2,14.0,0.0,0.0,0.0,0.0,2.8,1.7,61.4,41.3,52.2,43.7,26.4,46.9,77.5,41.1,66.9,49.6,55.8,0.0,1.5,0.0,0.0,0.0,grains
"Barley, pearled, raw",41.5,38.9,1.8,17.7,41.1,3.2,0.7,2.5,1.2,2.9,46.7,31.2,18.8,57.5,31.6,6.0,68.5,0.6,19.4,15.9,8.8,28.8,5.6,20.0,5.8,0.0,0.1,0.0,0.0,0.1,1.8,32.9,22.8,27.2,22.9,13.9,28.6,48.1,24.1,47.1,24.6,28.9,0.0,1.3,0.0,0.3,0.0,grains
Buckwheat,40.4,35.8,5.2,23.7,26.3,7.6,4.7,4.7,3.7,1.8,122.2,27.5,55.0,56.5,49.6,9.8,15.1,0.1,21.8,8.4,32.7,43.9,24.7,16.2,7.5,0.0,0.0,0.0,0.0,,,34.4,31.5,37.4,28.3,25.3,25.9,45.0,36.1,54.9,20.9,40.4,,,,,,grains
"Rice, brown, long-grain, raw",43.2,38.1,4.9,13.5,9.5,2.6,4.8,4.5,3.0,0.9,33.6,16.1,27.6,124.0,44.4,5.3,31.1,0.3,19.4,45.1,7.3,40.6,21.3,36.7,5.8,0.0,0.0,0.0,0.0,4.0,0.5,14.4,20.6,25.3,22.3,11.4,26.9,35.5,20.8,28.9,25.8,27.7,0.0,0.0,0.0,0.0,0.0,grains
"Wild rice, raw",42.1,37.4,1.7,26.3,16.3,10.0,0.7,3.1,0.8,2.1,58.2,24.5,42.1,57.8,61.9,9.1,5.1,0.5,54.2,9.6,20.2,42.1,21.5,30.1,23.8,0.0,0.1,0.0,0.0,5.5,1.6,26.2,39.2,46.5,34.6,23.6,65.9,62.4,33.5,51.1,53.9,51.1,0.0,1.8,0.0,0.2,0.0,grains
"Millet, raw",44.5,36.4,6.5,19.7,22.4,6.0,3.5,9.7,3.6,0.8,83.3,37.6,27.1,71.0,40.7,4.1,4.9,0.3,15.3,35.1,22.3,29.5,17.0,29.5,21.2,0.0,0.0,0.0,0.0,0.3,0.8,31.9,24.1,35.0,47.6,8.0,33.2,50.2,25.2,34.0,29.4,34.4,,,,,,grains
"Bulgur, dry",40.3,37.9,2.0,21.9,32.9,1.6,0.8,2.5,1.2,3.5,37.2,30.8,39.0,132.5,42.9,8.7,4.2,1.1,17.5,19.3,8.8,32.0,20.9,26.3,6.8,0.0,0.0,0.0,0.0,0.4,1.6,42.9,29.1,34.2,28.2,12.7,28.6,50.2,25.3,54.3,31.0,33.0,0.0,1.8,0.0,0.1,0.0,grains
"Spelt, uncooked",39.8,35.1,3.7,26.0,28.2,27.3,2.0,5.7,2.0,2.7,56.8,55.5,32.4,129.7,57.3,8.3,21.3,0.5,29.8,30.3,8.7,42.8,21.4,17.7,11.2,0.0,0.0,0.0,,5.3,3.0,49.6,36.7,41.5,36.4,15.4,38.8,63.8,31.6,37.7,32.6,40.5,0.0,1.4,0.0,0.1,0.0,grains
"Wheat, durum",39.9,35.6,3.8,24.4,,,1.6,4.4,2.3,3.4,61.4,44.0,34.3,131.0,72.6,9.2,162.5,0.1,37.8,34.9,9.3,42.1,18.7,32.2,10.8,0.0,0.0,0.0,0.0,,,43.0,32.9,40.1,31.8,11.4,33.2,59.0,26.1,50.3,30.9,35.4,,,,,,grains
