Shrt_Desc,Energy,Carbs,Fat,Protein,Fiber,Sugars,Monounsaturated fat,Polyunsaturated fat,Saturated fat,Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Vitamin B1 (Thiamin),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B4 (Panthothenic acid),Vitamin B6,Vitamin B9 (Folate),Vitamin B12,"Vitamin A, IU",Vitamin A,Vitamin C,Vitamin D (D2 + D3),"Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Lycopene,Lutein + zeaxanthin,"Carotene, alpha","Carotene, beta",Retinol,"Cryptoxanthin, beta"
"Quinoa, uncooked",953.5,64.16,6.07,14.12,7.0,,1.6130000000000002,3.292,0.706,0.0,47.0,0.59,4.57,197.0,2.033,457.0,563.0,8.5,5.0,3.1,0.36,0.318,1.52,0.772,0.48700000000000004,184.0,0.0,14.0,1.0,,0.0,0.0,2.44,0.0,0.0,163.0,0.0,8.0,0.0,1.0
Oats,1008.5,66.27,6.9,16.89,10.6,,2.178,2.535,1.217,0.0,54.0,0.626,4.72,177.0,4.916,523.0,429.0,,2.0,3.97,0.763,0.139,0.961,1.349,0.11900000000000001,56.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
"Barley, hulled",917.5,73.48,2.3,12.48,17.3,0.8,0.295,1.1079999999999999,0.48200000000000004,0.0,33.0,0.498,3.6,133.0,1.943,264.0,452.0,37.7,12.0,2.77,0.6459999999999999,0.285,4.604,0.282,0.318,19.0,0.0,22.0,1.0,0.0,0.0,0.0,0.57,2.2,0.0,160.0,0.0,13.0,0.0,0.0
"Barley, pearled, raw",912.5,77.72,1.16,9.91,15.6,0.8,0.149,0.56,0.244,0.0,29.0,0.42,2.5,79.0,1.3219999999999998,221.0,280.0,37.7,9.0,2.13,0.191,0.114,4.604,0.282,0.26,23.0,0.0,22.0,1.0,0.0,0.0,0.0,0.02,2.2,0.0,160.0,0.0,13.0,0.0,0.0
Buckwheat,889.0,71.5,3.4,13.25,10.0,,1.04,1.0390000000000001,0.741,0.0,18.0,1.1,2.2,231.0,1.3,347.0,460.0,8.3,1.0,2.4,0.10099999999999999,0.425,7.02,1.2329999999999999,0.21,30.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,
"Rice, brown, long-grain, raw",950.5,76.25,3.2,7.54,3.6,0.66,1.054,1.0,0.591,0.0,9.0,0.302,1.29,116.0,2.853,311.0,250.0,17.1,5.0,2.13,0.541,0.095,6.494,1.065,0.47700000000000004,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0
"Wild rice, raw",925.5,74.9,1.08,14.73,6.2,2.5,0.159,0.6759999999999999,0.156,0.0,21.0,0.524,1.96,177.0,1.329,433.0,427.0,2.8,7.0,5.96,0.115,0.262,6.733,1.074,0.391,95.0,0.0,19.0,1.0,0.0,0.0,0.0,0.82,1.9,0.0,220.0,0.0,11.0,0.0,0.0
"Millet, raw",980.0,72.85,4.22,11.02,8.5,,0.773,2.134,0.723,0.0,8.0,0.75,3.01,114.0,1.632,285.0,195.0,2.7,5.0,1.68,0.42100000000000004,0.29,4.72,0.848,0.384,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.9,,,,,0.0,
"Bulgur, dry",886.5,75.87,1.33,12.29,12.5,0.41,0.17300000000000001,0.541,0.23199999999999998,0.0,35.0,0.335,2.46,164.0,3.048,300.0,410.0,2.3,17.0,1.93,0.23199999999999998,0.115,5.114,1.045,0.342,27.0,0.0,9.0,0.0,0.0,0.0,0.0,0.06,1.9,0.0,220.0,0.0,5.0,0.0,0.0
"Spelt, uncooked",876.0,70.19,2.43,14.57,10.7,6.82,0.445,1.258,0.406,0.0,27.0,0.511,4.44,136.0,2.983,401.0,388.0,11.7,8.0,3.28,0.364,0.113,6.843,1.068,0.23,45.0,0.0,10.0,0.0,0.0,,,0.79,3.6,0.0,169.0,0.0,5.0,0.0,0.0
