food,Energy,Carbs,Protein,Fiber,Fat,Sugar,Fat (mono),Fat (poly),Fat (sat),Cholesterol,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Sodium,Zinc,Thiamin (B1),Riboflavin (B2),Niacin (B3),Pantothenic acid (B5),Pyridoxine (B6),Folate (B9),Cobalmins (B12),Vitamin A,Vitamin C,Vitamin D (D2 + D3),Vitamin E,Cystine,Histidine,Isoleucine,Leucine,Lysine,Methionine,Phenylalanine,Threonine,Tryptophan,Tyrosine,Valine,Lycopene,Lutein + zeaxanthin,alpha-Carotene,beta-Carotene,beta-Cryptoxanthin,Vitamin K
"Quinoa, uncooked",953.5,64.16,14.12,7.0,6.07,,1.613,3.292,0.706,0.0,47.0,0.59,4.57,197.0,2.033,457.0,563.0,8.5,5.0,3.1,0.36,0.318,1.52,0.772,0.487,184.0,0.0,1.0,,0.0,2.44,0.203,0.407,0.504,0.84,0.766,0.309,0.593,0.421,0.167,0.267,0.594,0.0,163.0,0.0,8.0,1.0,1.1
Oats,1008.5,66.27,16.89,10.6,6.9,,2.178,2.535,1.217,0.0,54.0,0.626,4.72,177.0,4.916,523.0,429.0,,2.0,3.97,0.763,0.139,0.961,1.349,0.119,56.0,0.0,0.0,0.0,0.0,0.0,0.408,0.405,0.694,1.284,0.701,0.312,0.895,0.575,0.234,0.573,0.937,,,,,,
"Barley, pearled, raw",912.5,77.72,9.91,15.6,1.16,0.8,0.149,0.56,0.244,0.0,29.0,0.42,2.5,79.0,1.322,221.0,280.0,37.7,9.0,2.13,0.191,0.114,4.604,0.282,0.26,23.0,0.0,1.0,0.0,0.0,0.02,0.219,0.223,0.362,0.673,0.369,0.19,0.556,0.337,0.165,0.284,0.486,0.0,160.0,0.0,13.0,0.0,
Buckwheat,889.0,71.5,13.25,10.0,3.4,,1.04,1.039,0.741,0.0,18.0,1.1,2.2,231.0,1.3,347.0,460.0,8.3,1.0,2.4,0.101,0.425,7.02,1.233,0.21,30.0,0.0,0.0,0.0,0.0,0.0,0.229,0.309,0.498,0.832,0.672,0.172,0.52,0.506,0.192,0.241,0.678,,,,,,
"Rice, brown, long-grain, raw",950.5,76.25,7.54,3.6,3.2,0.66,1.054,1.0,0.591,0.0,9.0,0.302,1.29,116.0,2.853,311.0,250.0,17.1,5.0,2.13,0.541,0.095,6.494,1.065,0.477,23.0,0.0,0.0,0.0,0.0,0.6,0.096,0.202,0.336,0.657,0.303,0.179,0.41,0.291,0.101,0.298,0.466,0.0,0.0,0.0,0.0,0.0,0.6
"Wild rice, raw",925.5,74.9,14.73,6.2,1.08,2.5,0.159,0.676,0.156,0.0,21.0,0.524,1.96,177.0,1.329,433.0,427.0,2.8,7.0,5.96,0.115,0.262,6.733,1.074,0.391,95.0,0.0,1.0,0.0,0.0,0.82,0.174,0.384,0.618,1.018,0.629,0.438,0.721,0.469,0.179,0.622,0.858,0.0,220.0,0.0,11.0,0.0,
"Millet, raw",980.0,72.85,11.02,8.5,4.22,,0.773,2.134,0.723,0.0,8.0,0.75,3.01,114.0,1.632,285.0,195.0,2.7,5.0,1.68,0.421,0.29,4.72,0.848,0.384,85.0,0.0,0.0,0.0,0.0,0.05,0.212,0.236,0.465,1.4,0.212,0.221,0.58,0.353,0.119,0.34,0.578,,,,,,
"Bulgur, dry",886.5,75.87,12.29,12.5,1.33,0.41,0.173,0.541,0.232,0.0,35.0,0.335,2.46,164.0,3.048,300.0,410.0,2.3,17.0,1.93,0.232,0.115,5.114,1.045,0.342,27.0,0.0,0.0,0.0,0.0,0.06,0.285,0.285,0.455,0.83,0.339,0.19,0.58,0.354,0.19,0.358,0.554,0.0,220.0,0.0,5.0,0.0,
"Spelt, uncooked",876.0,70.19,14.57,10.7,2.43,6.82,0.445,1.258,0.406,0.0,27.0,0.511,4.44,136.0,2.983,401.0,388.0,11.7,8.0,3.28,0.364,0.113,6.843,1.068,0.23,45.0,0.0,0.0,0.0,,0.79,0.33,0.36,0.552,1.07,0.409,0.258,0.737,0.443,0.132,0.377,0.681,0.0,169.0,0.0,5.0,0.0,3.6
"Wheat, durum",878.5,71.13,13.68,,2.47,,0.344,0.978,0.454,0.0,34.0,0.553,3.52,144.0,3.012,508.0,431.0,89.4,2.0,4.16,0.419,0.121,6.738,0.935,0.419,43.0,0.0,0.0,0.0,0.0,0.0,0.286,0.322,0.533,0.934,0.303,0.221,0.681,0.366,0.176,0.357,0.594,,,,,,
